,scatter energy,scatter locations,absorption energies,absorption locations
0,0.292709,"[-131.208, -38.2785, 953.033]",0.371602,[  0 -10 100]
1,0.330159,"[60.7639, 166.423, 994.4]",0.327047,[  0  10 100]
2,0.30274,"[18.6837, 209.276, 952.185]",0.367206,[  0  10 100]
3,0.436574,"[-249.722, 90.4909, 193.466]",0.221949,[-16.2  -8.1  20. ]
4,0.362225,"[1.3754, 87.3755, 957.399]",0.300207,[  0  10 100]
5,0.447827,"[301.975, 94.4673, 161.306]",0.222763,[16.2  8.1 20. ]
6,0.451673,"[301.869, 89.897, 154.38]",0.202938,[-16.2  -8.1  20. ]
7,0.464396,"[-242.997, 145.677, 239.402]",0.193589,[-16.2   8.1  20. ]
8,0.452187,"[243.805, -190.835, 222.933]",0.215203,[16.2 -8.1 20. ]
9,0.442504,"[-256.003, 193.872, 236.227]",0.214992,[-16.2   8.1  20. ]
10,0.430187,"[-318.235, 85.7884, 176.291]",0.239027,[16.2 -8.1 20. ]
11,0.385044,"[0.00583023, 79.3142, 968.301]",0.26984,[  0  10 100]
12,0.391243,"[-70.9808, -141.843, 957.502]",0.280636,[-10   0 100]
13,0.32608,"[4.14278, 133.219, 960.557]",0.332016,[  0  10 100]
14,0.331144,"[-275.143, 150.256, 272.265]",0.321903,[  0 -10 100]
15,0.301993,"[-23.2178, -162.945, 1012.14]",0.356569,[-10   0 100]
16,0.162235,"[-59.7844, -112.49, 949.66]",0.491212,[-10   0 100]
17,0.402279,"[46.8912, -107.793, 981.019]",0.261766,[-10   0 100]
18,0.370555,"[-3.6145, 84.3013, 954.257]",0.300075,[  0  10 100]
19,0.373812,"[14.1081, 88.6012, 1000.54]",0.280223,[  0  10 100]
20,0.374376,"[-53.5362, 110.179, 956.873]",0.286969,[  0  10 100]
21,0.426114,"[-316.613, 81.9293, 233.331]",0.239715,[16.2 -8.1 20. ]
22,0.426306,"[284.371, 88.507, 213.789]",0.23963,[16.2  8.1 20. ]
