board;channel;timetag;energy;energyshort;flags
0;6;87;0.31001;0;4000
0;1;148;0.1878;0;4000
0;1;507;0.361868;0;4000
0;3;567;0.662;0;4000
0;5;586;0.662;0;4000
0;6;819;0.662;0;4000
0;1;1900;0.662;0;4000
0;1;2828;0.662;0;4000
0;4;2994;0.662;0;4000
0;7;3315;0.662;0;4000
0;7;3430;0.662;0;4000
0;1;3454;0.269128;0;4000
0;7;4153;0.662;0;4000
0;7;4586;0.397842;0;4000
0;4;4708;0.662;0;4000
0;7;4909;0.662;0;4000
0;5;5035;0.264191;0;4000
0;2;5457;0.187937;0;4000
0;3;5662;0.31581;0;4000
0;7;5759;0.662;0;4000
0;1;5966;0.40801;0;4000
0;6;6260;0.662;0;4000
0;0;6299;0.35358;0;4000
0;3;6476;0.144089;0;4000
0;4;6592;0.120728;0;4000
0;5;6592;0.369594;0;4000
0;2;6804;0.00231852;0;4000
0;0;6824;0.662;0;4000
0;3;7558;0.188276;0;4000
0;5;7606;0.662;0;4000
0;2;7673;0.13467;0;4000
0;0;7860;0.464214;0;4000
0;2;7911;0.0148613;0;4000
0;3;8777;0.107459;0;4000
0;4;8861;0.146099;0;4000
0;1;9458;0.662;0;4000
0;7;9731;0.662;0;4000
0;2;9977;0.662;0;4000
0;2;10069;0.662;0;4000
0;7;10608;0.662;0;4000
0;6;10647;0.662;0;4000
0;7;10702;0.662;0;4000
0;2;10989;0.291794;0;4000
0;3;11533;0.428767;0;4000
0;2;11830;0.662;0;4000
0;3;11843;0.125656;0;4000
0;6;12047;0.190455;0;4000
0;5;12212;0.662;0;4000
0;6;12214;0.339164;0;4000
0;2;12569;0.0314798;0;4000
0;0;12818;0.662;0;4000
0;4;13120;0.229963;0;4000
0;4;13151;0.662;0;4000
0;0;13780;0.298807;0;4000
0;6;14362;0.296827;0;4000
0;1;14435;0.662;0;4000
0;4;14551;0.163306;0;4000
0;2;14951;0.401367;0;4000
0;5;15399;0.662;0;4000
0;5;16852;0.662;0;4000
0;5;16926;0.391791;0;4000
0;7;17246;0.157687;0;4000
0;7;17287;0.662;0;4000
0;1;17375;0.419795;0;4000
0;4;17546;0.119601;0;4000
0;6;17583;0.174574;0;4000
0;6;17619;0.282251;0;4000
0;4;17655;0.40093;0;4000
0;0;18177;0.0583258;0;4000
0;5;18193;0.662;0;4000
0;4;18790;0.662;0;4000
0;6;19399;0.662;0;4000
0;2;19513;0.419747;0;4000
0;5;19718;0.662;0;4000
0;3;19857;0.151324;0;4000
0;2;19897;0.662;0;4000
0;5;20414;0.330896;0;4000
0;7;20562;0.204243;0;4000
0;2;20777;0.445597;0;4000
0;0;20951;0.182178;0;4000
0;7;21086;0.662;0;4000
0;2;21157;0.168865;0;4000
0;0;21363;0.150426;0;4000
0;6;22218;0.351829;0;4000
0;3;22287;0.105734;0;4000
0;4;22463;0.662;0;4000
0;0;22697;0.0923882;0;4000
0;7;22815;0.137755;0;4000
0;1;23266;0.662;0;4000
0;7;24156;0.662;0;4000
0;0;24298;0.662;0;4000
0;4;24739;0.662;0;4000
0;2;24743;0.662;0;4000
0;1;25108;0.445393;0;4000
0;3;25149;0.154457;0;4000
0;2;25318;0.369034;0;4000
0;7;25466;0.662;0;4000
0;2;25773;0.429694;0;4000
0;6;25848;0.662;0;4000
0;2;26001;0.191543;0;4000
0;7;26181;0.662;0;4000
0;2;26310;0.662;0;4000
0;6;26370;0.662;0;4000
0;2;26688;0.0395266;0;4000
0;3;27170;0.040287;0;4000
0;1;27318;0.434569;0;4000
0;3;27416;0.40727;0;4000
0;4;28157;0.184844;0;4000
0;2;28393;0.154444;0;4000
0;1;28699;0.176072;0;4000
0;0;28895;0.662;0;4000
0;2;28955;0.503798;0;4000
0;0;28968;0.662;0;4000
0;5;29267;0.182175;0;4000
0;0;29412;0.662;0;4000
0;0;29708;0.415621;0;4000
0;2;30208;0.151764;0;4000
0;6;30324;0.662;0;4000
0;0;30392;0.662;0;4000
0;3;30527;0.662;0;4000
0;3;30601;0.662;0;4000
0;4;31797;0.662;0;4000
0;6;32344;0.662;0;4000
0;7;32489;0.444335;0;4000
0;7;32620;0.412199;0;4000
0;7;33092;0.662;0;4000
0;5;33551;0.184979;0;4000
0;6;34254;0.207188;0;4000
0;7;34254;0.105031;0;4000
0;6;34430;0.662;0;4000
0;4;34483;0.203076;0;4000
0;5;34483;0.264042;0;4000
0;6;34483;0.194881;0;4000
0;5;34735;0.662;0;4000
0;2;35187;0.45019;0;4000
0;4;35343;0.275381;0;4000
0;2;35808;0.0913126;0;4000
0;2;35855;0.46522;0;4000
0;7;35956;0.235767;0;4000
0;7;36191;0.662;0;4000
0;3;36295;0.206493;0;4000
0;5;36875;0.662;0;4000
0;7;37322;0.438568;0;4000
0;0;37536;0.0516935;0;4000
0;5;38129;0.662;0;4000
0;4;38245;0.662;0;4000
0;0;38354;0.662;0;4000
0;0;38435;0.338481;0;4000
0;4;39280;0.132668;0;4000
0;1;39540;0.155572;0;4000
0;4;40758;0.662;0;4000
0;0;40774;0.203475;0;4000
0;2;41045;0.662;0;4000
0;3;41466;0.662;0;4000
0;1;41948;0.222872;0;4000
0;7;42228;0.662;0;4000
0;0;42425;0.662;0;4000
0;4;42496;0.662;0;4000
0;3;43104;0.156153;0;4000
0;4;43679;0.237646;0;4000
0;2;43772;0.272328;0;4000
0;3;44012;0.662;0;4000
0;2;44138;0.662;0;4000
0;1;44261;0.0459717;0;4000
0;1;44381;0.662;0;4000
0;3;44703;0.662;0;4000
0;4;45002;0.662;0;4000
0;1;45196;0.349512;0;4000
0;0;45316;0.401169;0;4000
0;0;45686;0.662;0;4000
0;0;45852;0.662;0;4000
0;4;45890;0.662;0;4000
0;2;45965;0.0250241;0;4000
0;1;46193;0.662;0;4000
0;1;46948;0.302669;0;4000
0;0;47015;0.209482;0;4000
0;1;47469;0.55288;0;4000
0;5;47549;0.406727;0;4000
0;7;47549;0.255273;0;4000
0;5;47651;0.177029;0;4000
0;6;48073;0.252302;0;4000
0;4;48240;0.662;0;4000
0;0;48288;0.229069;0;4000
0;6;48433;0.397695;0;4000
0;6;48452;0.662;0;4000
0;2;49026;0.662;0;4000
0;1;49536;0.396533;0;4000
0;5;49566;0.662;0;4000
0;0;50221;0.172134;0;4000
0;3;50750;0.348512;0;4000
0;2;50806;0.662;0;4000
0;3;50893;0.0370419;0;4000
0;0;51381;0.432701;0;4000
0;7;51628;0.662;0;4000
0;0;51722;0.0347972;0;4000
0;7;52515;0.662;0;4000
0;1;52770;0.387916;0;4000
0;0;52809;0.662;0;4000
0;0;52838;0.44942;0;4000
0;1;53063;0.38712;0;4000
0;1;53082;0.37804;0;4000
0;4;53257;0.662;0;4000
0;3;53470;0.353799;0;4000
0;2;53773;0.102267;0;4000
0;2;53852;0.662;0;4000
0;2;54135;0.662;0;4000
0;2;54254;0.0413723;0;4000
0;2;54481;0.662;0;4000
0;0;54540;0.252581;0;4000
0;3;54651;0.376925;0;4000
0;2;54909;0.662;0;4000
0;1;54911;0.662;0;4000
0;6;54917;0.662;0;4000
0;3;55344;0.580187;0;4000
0;4;55430;0.445896;0;4000
0;3;55524;0.306081;0;4000
0;4;55594;0.61334;0;4000
0;5;55615;0.662;0;4000
0;6;55886;0.213684;0;4000
0;5;56468;0.662;0;4000
0;3;57392;0.662;0;4000
0;4;57577;0.307857;0;4000
0;7;57904;0.200949;0;4000
0;2;57960;0.286404;0;4000
0;3;57995;0.209629;0;4000
0;0;58400;0.469203;0;4000
0;3;58447;0.139506;0;4000
0;0;58641;0.184707;0;4000
0;4;58752;0.662;0;4000
0;0;59136;0.662;0;4000
0;1;59865;0.418356;0;4000
0;6;60194;0.462308;0;4000
0;1;60370;0.662;0;4000
0;2;60846;0.195007;0;4000
0;2;61668;0.662;0;4000
0;3;61800;0.0620932;0;4000
0;4;61962;0.662;0;4000
0;2;62063;0.0611115;0;4000
0;5;62098;0.662;0;4000
0;3;62499;0.438722;0;4000
0;5;62808;0.237575;0;4000
0;6;63396;0.662;0;4000
0;4;63972;0.662;0;4000
0;3;64177;0.662;0;4000
0;0;64489;0.662;0;4000
0;0;64524;0.0556189;0;4000
0;1;64627;0.398285;0;4000
0;4;64679;0.662;0;4000
0;2;64845;0.367366;0;4000
0;5;64894;0.470513;0;4000
0;3;64901;0.630625;0;4000
0;0;65038;0.0204489;0;4000
0;3;65103;0.662;0;4000
0;1;65489;0.662;0;4000
0;2;66372;0.326908;0;4000
0;0;66392;0.224127;0;4000
0;5;66572;0.662;0;4000
0;6;66598;0.662;0;4000
0;2;66934;0.662;0;4000
0;5;67272;0.662;0;4000
0;2;67971;0.24425;0;4000
0;5;67985;0.662;0;4000
0;5;68094;0.662;0;4000
0;5;68124;0.431458;0;4000
0;3;68247;0.469474;0;4000
0;3;68370;0.274068;0;4000
0;1;68567;0.0153019;0;4000
0;2;69146;0.662;0;4000
0;1;69451;0.267192;0;4000
0;5;70407;0.662;0;4000
0;1;70498;0.662;0;4000
0;1;70631;0.288562;0;4000
0;7;70852;0.662;0;4000
0;6;71067;0.361127;0;4000
0;7;71067;0.300873;0;4000
0;0;71145;0.21164;0;4000
0;0;71237;0.287382;0;4000
0;1;71260;0.464315;0;4000
0;1;71534;0.224366;0;4000
0;4;71724;0.0828312;0;4000
0;2;71790;0.0756991;0;4000
0;5;71918;0.662;0;4000
0;1;71971;0.0236994;0;4000
0;0;72766;0.662;0;4000
0;0;72849;0.171813;0;4000
0;0;72993;0.662;0;4000
0;6;73092;0.338317;0;4000
0;2;73720;0.10529;0;4000
0;7;74069;0.0112549;0;4000
0;6;74132;0.662;0;4000
0;7;75286;0.662;0;4000
0;0;75758;0.662;0;4000
0;1;75822;0.260962;0;4000
0;3;76291;0.662;0;4000
0;2;76724;0.117388;0;4000
0;1;76726;0.00352478;0;4000
0;4;77099;0.662;0;4000
0;3;77214;0.422893;0;4000
0;6;77328;0.0571663;0;4000
0;2;77337;0.415056;0;4000
0;6;77501;0.662;0;4000
0;1;77993;0.182084;0;4000
0;2;78306;0.662;0;4000
0;7;78755;0.662;0;4000
0;7;79061;0.662;0;4000
0;4;79285;0.473428;0;4000
0;3;79442;0.0186126;0;4000
0;7;79809;0.662;0;4000
0;1;79832;0.0483303;0;4000
0;3;80471;0.0494258;0;4000
0;7;80534;0.487337;0;4000
0;2;80881;0.432852;0;4000
0;2;80980;0.169096;0;4000
0;6;81109;0.208722;0;4000
0;6;81255;0.374037;0;4000
0;6;81260;0.662;0;4000
0;2;81524;0.327824;0;4000
0;6;82406;0.662;0;4000
0;0;82943;0.542015;0;4000
0;5;84044;0.662;0;4000
0;1;84664;0.456457;0;4000
0;1;84672;0.34751;0;4000
0;3;84817;0.662;0;4000
0;5;85085;0.662;0;4000
0;6;85309;0.323685;0;4000
0;5;85376;0.465164;0;4000
0;1;86253;0.497331;0;4000
0;2;86255;0.662;0;4000
0;2;86362;0.432751;0;4000
0;0;87098;0.213618;0;4000
0;4;87272;0.227687;0;4000
0;7;87990;0.662;0;4000
0;1;88011;0.662;0;4000
0;2;88249;0.662;0;4000
0;1;88454;0.662;0;4000
0;0;88459;0.662;0;4000
0;0;88593;0.0565998;0;4000
0;7;88826;0.44812;0;4000
0;2;89134;0.297947;0;4000
0;0;89188;0.175934;0;4000
0;2;89763;0.0526362;0;4000
0;0;90120;0.22622;0;4000
0;2;90533;0.297149;0;4000
0;5;90555;0.662;0;4000
0;7;91160;0.662;0;4000
0;5;91413;0.504409;0;4000
0;6;91794;0.662;0;4000
0;0;91987;0.662;0;4000
0;6;92175;0.662;0;4000
0;3;92340;0.662;0;4000
0;5;92691;0.662;0;4000
0;5;92911;0.386756;0;4000
0;2;92934;0.0441111;0;4000
0;4;92989;0.375685;0;4000
0;4;93002;0.662;0;4000
0;5;93063;0.662;0;4000
0;0;93844;0.206174;0;4000
0;2;93986;0.105528;0;4000
0;2;94159;0.374929;0;4000
0;2;94755;0.0350175;0;4000
0;1;94959;0.662;0;4000
0;6;95284;0.662;0;4000
0;2;95441;0.431854;0;4000
0;6;95547;0.662;0;4000
0;2;95832;0.275556;0;4000
0;2;96238;0.662;0;4000
0;7;96259;0.462065;0;4000
0;5;96358;0.24423;0;4000
0;5;96897;0.0445621;0;4000
0;2;97090;0.662;0;4000
0;6;97351;0.662;0;4000
0;6;97422;0.43261;0;4000
0;7;97466;0.662;0;4000
0;3;99072;0.402018;0;4000
0;0;99147;0.662;0;4000
0;6;99373;0.349631;0;4000
0;3;99475;0.166008;0;4000
0;5;99662;0.149133;0;4000
0;3;100013;0.288646;0;4000
0;3;100065;0.362427;0;4000
0;1;100559;0.662;0;4000
0;2;100662;0.662;0;4000
0;5;100914;0.662;0;4000
0;4;101332;0.166812;0;4000
0;1;101907;0.428906;0;4000
0;2;102079;0.241097;0;4000
0;1;102133;0.385525;0;4000
0;1;102145;0.446968;0;4000
0;0;102991;0.0517741;0;4000
0;0;103184;0.662;0;4000
0;6;103519;0.662;0;4000
0;7;103730;0.377384;0;4000
0;5;103797;0.662;0;4000
0;0;103934;0.662;0;4000
0;7;104088;0.662;0;4000
0;7;104556;0.662;0;4000
0;0;105061;0.662;0;4000
0;0;105716;0.554661;0;4000
0;3;106549;0.662;0;4000
0;3;107697;0.259782;0;4000
0;0;107942;0.084154;0;4000
0;2;108823;0.120062;0;4000
0;3;109050;0.189727;0;4000
0;7;109138;0.106684;0;4000
0;7;109188;0.140377;0;4000
0;4;109445;0.425976;0;4000
0;6;110388;0.244681;0;4000
0;0;110426;0.662;0;4000
0;5;110579;0.244911;0;4000
0;5;110656;0.476077;0;4000
0;3;110656;0.185923;0;4000
0;2;110819;0.662;0;4000
0;3;110933;0.261399;0;4000
0;5;111255;0.118275;0;4000
0;0;111628;0.377918;0;4000
0;5;112275;0.662;0;4000
0;3;112419;0.303259;0;4000
0;0;112560;0.303304;0;4000
0;4;112766;0.662;0;4000
0;1;113415;0.630751;0;4000
0;5;114580;0.417336;0;4000
0;0;114865;0.47001;0;4000
0;3;115006;0.662;0;4000
0;6;115041;0.507747;0;4000
0;6;115153;0.311867;0;4000
0;2;115286;0.382755;0;4000
0;6;115453;0.662;0;4000
0;1;115539;0.662;0;4000
0;6;115964;0.662;0;4000
0;0;115991;0.461818;0;4000
0;2;116246;0.288099;0;4000
0;0;116294;0.165541;0;4000
0;5;116342;0.662;0;4000
0;0;116351;0.662;0;4000
0;3;116765;0.306013;0;4000
0;1;117229;0.350024;0;4000
0;1;117782;0.0744062;0;4000
0;1;117914;0.311944;0;4000
0;6;118274;0.662;0;4000
0;4;118431;0.662;0;4000
0;0;118516;0.144476;0;4000
0;2;118631;0.415825;0;4000
0;5;118850;0.662;0;4000
0;4;119476;0.14576;0;4000
0;4;120335;0.249978;0;4000
0;7;120800;0.662;0;4000
0;6;121262;0.460357;0;4000
0;6;121824;0.366363;0;4000
0;5;121940;0.662;0;4000
0;5;122095;0.662;0;4000
0;0;122344;0.662;0;4000
0;7;122532;0.662;0;4000
0;0;122598;0.0779633;0;4000
0;6;123337;0.662;0;4000
0;4;123744;0.154475;0;4000
0;6;123988;0.662;0;4000
0;3;124116;0.662;0;4000
0;7;124595;0.662;0;4000
0;1;124700;0.662;0;4000
0;2;124772;0.328766;0;4000
0;1;124799;0.456836;0;4000
0;6;124974;0.662;0;4000
0;3;126041;0.0291174;0;4000
0;3;126344;0.662;0;4000
0;3;126352;0.344173;0;4000
0;6;126812;0.240414;0;4000
0;7;126812;0.171401;0;4000
0;1;127076;0.662;0;4000
0;7;127358;0.662;0;4000
0;0;127977;0.662;0;4000
0;4;128239;0.0158444;0;4000
0;1;128358;0.250549;0;4000
0;3;128732;0.404813;0;4000
0;4;129293;0.662;0;4000
0;3;129326;0.333273;0;4000
0;5;129457;0.662;0;4000
0;7;129671;0.662;0;4000
0;1;130849;0.662;0;4000
0;1;131306;0.393379;0;4000
0;4;131669;0.662;0;4000
0;1;131891;0.325925;0;4000
0;7;132027;0.225846;0;4000
0;2;132147;0.662;0;4000
0;2;132243;0.192235;0;4000
0;5;132414;0.337311;0;4000
0;3;132560;0.249576;0;4000
0;6;133037;0.662;0;4000
0;0;133361;0.662;0;4000
0;6;133383;0.662;0;4000
0;3;133465;0.383981;0;4000
0;4;133502;0.662;0;4000
0;5;133506;0.662;0;4000
0;7;133662;0.175308;0;4000
0;4;133707;0.193183;0;4000
0;1;134057;0.102407;0;4000
0;7;134401;0.662;0;4000
0;4;135106;0.178055;0;4000
0;2;135558;0.164966;0;4000
0;1;135575;0.662;0;4000
0;1;135840;0.662;0;4000
0;2;135868;0.253778;0;4000
0;1;135928;0.171135;0;4000
0;0;136059;0.662;0;4000
0;1;136149;0.662;0;4000
0;2;136397;0.255609;0;4000
0;3;136685;0.226204;0;4000
