BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS;X;Y;Z;INTERACTION TYPE
0;4;9845;0.259236;0;2;-116.794;9.21381;885.897;compt
0;4;9845;0.259236;0;2;-110.506;-2.07579;904.534;compt
0;7;9845;0.410422;0;1;9.26491;-129.702;956.541;compt
0;7;9845;0.410422;0;1;24.3284;-128.732;965.753;phot
0;5;30126;0.342978;0;1;16.2908;115.621;827.108;compt
0;6;30126;0.318019;0;3;106.383;17.1968;864.321;compt
0;6;30126;0.318019;0;3;112.238;-3.43054;864.246;compt
0;6;30126;0.318019;0;3;111.164;-1.00687;864.377;compt
0;6;30126;0.318019;0;3;113.865;-6.16579;861.682;phot
0;0;58734;0.285697;0;2;-49.9937;36.3479;469.096;compt
0;0;58734;0.285697;0;2;-32.7678;46.6407;484.788;compt
0;6;58734;0.0736466;0;1;162.479;-8.95818;819.144;compt
0;4;77268;0.387416;0;1;-131.998;26.802;923.018;compt
0;4;77268;0.387416;0;1;-129.872;35.1814;919.317;phot
0;5;77268;0.261692;0;1;-29.8819;128.381;829;compt
0;4;93031;0.302576;0;1;-148.942;28.3206;933.197;compt
0;4;93031;0.302576;0;1;-148.01;30.7085;935.392;phot
0;5;93031;0.265283;0;1;-21.7479;110.542;814.512;compt
0;2;99436;0.480873;0;2;41.3583;-32.5445;437.827;compt
0;2;99436;0.480873;0;2;49.1566;-38.9564;444.677;compt
0;3;99436;0.191266;0;0;34.5965;35.9607;450.377;phot
0;4;109105;0.307541;0;1;-132.72;-31.1181;949.878;compt
0;4;109105;0.307541;0;1;-127.644;-32.2694;948.094;phot
0;7;109105;0.372996;0;1;-25.4255;-111.965;948.387;compt
0;5;118363;0.292192;0;1;17.0074;108.01;823.866;compt
0;6;118363;0.360192;0;1;102.201;17.0535;893.053;compt
0;6;118363;0.360192;0;1;102.593;17.1433;892.373;phot
0;1;122793;0.15426;0;1;-49.83;-37.678;478.504;compt
0;6;122793;0.525165;0;1;154.893;14.5431;821.727;compt
0;6;122793;0.525165;0;1;155.384;13.5007;820.564;phot
0;4;128564;0.225502;0;0;-114.307;-24.9317;868.908;phot
0;7;128564;0.456562;0;1;-23.2556;-106.225;947.116;compt
0;0;156307;0.367116;0;1;-36.562;45.4767;436.256;compt
0;2;156307;0.309984;0;1;33.8368;-48.2519;460.782;compt
0;2;156307;0.309984;0;1;33.6146;-47.0223;457.802;phot
0;5;160555;0.547111;0;2;-31.2409;129.652;840.628;compt
0;5;160555;0.547111;0;2;-35.0205;131.278;846.699;compt
0;5;160555;0.547111;0;2;-24.6758;132.743;836.522;phot
0;2;160555;0.1326;0;1;39.2377;-55.5043;469.409;compt
0;0;165190;0.361514;0;1;-37.0596;43.3956;479.012;compt
0;0;165190;0.361514;0;1;-33.3977;41.9837;473.994;phot
0;3;165190;0.309184;0;2;51.0527;39.4487;446.684;compt
0;3;165190;0.309184;0;2;46.4184;45.7974;457.486;compt
0;2;241084;0.371847;0;1;48.7112;-32.9072;472.062;compt
0;3;241084;0.263274;0;1;49.7597;37.1048;483.855;compt
0;3;241084;0.263274;0;1;50.8052;33.2379;480.883;phot
0;4;242111;0.342526;0;1;-131.242;32.5834;840.312;compt
0;5;242111;0.312136;0;1;-10.4659;138.042;884.602;compt
0;5;242111;0.312136;0;1;-6.92691;139.171;894.025;phot
0;0;261336;0.385869;0;1;-43.3502;34.5415;442.684;compt
0;1;261336;0.270095;0;0;-38.0035;-39.1215;436.512;phot
0;6;300311;0.584749;0;2;118.831;-22.9633;847.721;compt
0;6;300311;0.584749;0;2;104.222;-0.490828;892.052;compt
0;6;300311;0.584749;0;2;104.414;-3.32008;891.07;phot
0;3;300311;0.0393719;0;1;42.1467;50.0375;465.369;compt
0;4;348288;0.0777038;0;2;-127.869;15.6483;933.203;compt
0;4;348288;0.0777038;0;2;-141.141;26.5575;939.987;compt
0;6;348288;0.3205;0;3;127.653;-29.562;825.01;compt
0;6;348288;0.3205;0;3;125.496;-25.3486;844.507;compt
0;6;348288;0.3205;0;3;116.484;-20.4286;847.626;compt
0;4;353968;0.192462;0;0;-120.758;1.62001;828.478;phot
0;5;353968;0.451122;0;1;29.8934;112.438;924.634;compt
0;5;355497;0.326391;0;2;27.3542;122.485;871.099;compt
0;5;355497;0.326391;0;2;32.4904;121.811;874.088;compt
0;6;355497;0.324556;0;0;108.345;9.24964;932.86;phot
0;5;375842;0.445532;0;3;-37.4248;133.039;847.952;compt
0;5;375842;0.445532;0;3;-29.285;120.819;863.707;compt
0;5;375842;0.445532;0;3;-29.565;116.781;860.702;compt
0;7;375842;0.16206;0;0;11.4272;-101.304;868.341;phot
0;0;398165;0.402817;0;1;-43.3753;36.7254;459.634;compt
0;1;398165;0.278928;0;0;-42.9492;-39.9688;447.626;phot
0;4;434495;0.318251;0;1;-116.252;-28.742;839.823;compt
0;6;434495;0.357001;0;1;134.152;-32.9528;952.906;compt
0;6;434495;0.357001;0;1;146.401;-16.1578;964.802;phot
0;6;451118;0.475442;0;2;97.6279;10.5031;957.134;compt
0;6;451118;0.475442;0;2;98.1075;10.6396;957.651;compt
0;7;451118;0.198896;0;0;16.4611;-101.73;934.203;phot
0;5;472364;0.293247;0;2;-0.396133;130.762;859.927;compt
0;5;472364;0.293247;0;2;-4.31017;119.097;870.14;compt
0;7;472364;0.127386;0;2;-9.46348;-98.6085;933.979;compt
0;7;472364;0.127386;0;2;2.40173;-124.891;965.903;compt
0;4;517256;0.277043;0;1;-99.9874;1.34722;831.725;compt
0;7;517256;0.39761;0;1;-25.09;-146.839;943.351;compt
0;7;517256;0.39761;0;1;-25.5699;-149.659;938.461;phot
0;6;535110;0.294924;0;2;118.36;30.5192;825.134;compt
0;6;535110;0.294924;0;2;110.955;25.6602;832.439;compt
0;7;535110;0.368585;0;1;18.2129;-117.938;891.165;compt
0;7;535110;0.368585;0;1;20.474;-113.577;890.072;phot
0;5;546589;0.386341;0;1;35.7784;121.547;836.534;compt
0;6;546589;0.143676;0;1;104.225;-11.5179;840.689;compt
0;5;552106;0.32739;0;0;22.4575;126.278;921.2;phot
0;6;552106;0.350631;0;1;135.906;32.3393;898.599;compt
0;5;555232;0.259182;0;1;16.4247;110.665;821.951;compt
0;6;555232;0.37213;0;1;106.682;-19.5699;931.88;compt
0;6;555232;0.37213;0;1;108.071;-21.2769;932.732;phot
0;2;600445;0.249645;0;0;33.6117;-38.3066;442.204;phot
0;3;600445;0.411668;0;1;41.3736;38.3246;463.032;compt
0;0;608434;0.391962;0;1;-36.1358;36.6732;460.998;compt
0;2;608434;0.0323545;0;2;39.716;-34.6346;469.22;compt
0;2;608434;0.0323545;0;2;54.2637;-42.5237;468.104;compt
0;4;611036;0.312826;0;2;-103.733;3.73233;832.95;compt
0;4;611036;0.312826;0;2;-103.395;4.60753;834.551;compt
0;5;611036;0.379553;0;2;-20.8506;128.875;841.666;compt
0;5;611036;0.379553;0;2;-21.1796;126.938;840.34;compt
0;5;611036;0.379553;0;2;-16.3281;127.526;835.295;phot
0;5;669655;0.360492;0;1;-8.83292;154.211;841.72;compt
0;7;669655;0.283941;0;0;25.8883;-112.189;899.71;phot
0;5;688809;0.249595;0;2;12.7809;124.531;903.368;compt
0;5;688809;0.249595;0;2;11.6644;125.75;901.986;compt
0;5;688809;0.249595;0;2;8.05969;130.953;900.38;phot
0;6;688809;0.410512;0;1;103.504;22.2553;924.978;compt
0;4;710685;0.454243;0;1;-101.619;19.3704;875.727;compt
0;5;710685;0.239132;0;0;-3.3006;111.542;834.038;phot
0;4;719953;0.362975;0;1;-122.712;-3.15588;959.83;compt
0;4;719953;0.362975;0;1;-119.924;-3.47423;958.927;phot
0;7;719953;0.288225;0;1;-2.15871;-100.424;877.272;compt
0;1;722996;0.314798;0;2;-35.8619;-49.5433;458.11;compt
0;1;722996;0.314798;0;2;-33.8341;-47.7309;461.005;compt
0;3;722996;0.19245;0;1;36.4908;38.6347;447.584;compt
0;3;722996;0.19245;0;1;36.5385;38.2948;449.86;phot
0;4;752902;0.369129;0;1;-129.598;26.9656;824.616;compt
0;6;752902;0.303851;0;0;111.544;-27.0503;895.471;phot
0;6;781641;0.317662;0;1;148.447;-31.0812;860.922;compt
0;7;781641;0.0517786;0;1;-14.74;-134.398;927.935;compt
0;5;816451;0.424774;0;1;33.5189;150.823;951.275;compt
0;5;816451;0.424774;0;1;31.3723;154.007;942.174;phot
0;6;816451;0.250775;0;2;119.086;3.50993;815.787;compt
0;6;816451;0.250775;0;2;118.738;5.16653;817.173;compt
0;0;829407;0.294413;0;1;-44.6788;32.8598;479.144;compt
0;0;829407;0.294413;0;1;-44.4293;36.6231;475.593;phot
