,scatter energy,scatter locations,absorption energies,absorption locations
0,0.456559,[-16.2  -8.1  20. ],0.198222,[16.2  8.1 20. ]
1,0.44003100000000006,[-16.2   8.1  20. ],0.221969,[16.2  8.1 20. ]
2,0.45644799999999996,[16.2  8.1 20. ],0.20555199999999998,[-16.2   8.1  20. ]
3,0.447114,[-16.2   8.1  20. ],0.21488600000000002,[16.2  8.1 20. ]
4,0.43921400000000005,[-16.2   8.1  20. ],0.222786,[16.2  8.1 20. ]
5,0.449754,[16.2 -8.1 20. ],0.20493499999999998,[16.2  8.1 20. ]
6,0.45478199999999996,[-16.2   8.1  20. ],0.20721799999999999,[16.2 -8.1 20. ]
7,0.43954499999999996,[16.2  8.1 20. ],0.222455,[-16.2   8.1  20. ]
8,0.429571,[-16.2  -8.1  20. ],0.232429,[16.2  8.1 20. ]
9,0.42904899999999996,[-16.2  -8.1  20. ],0.23295100000000002,[16.2  8.1 20. ]
10,0.42711899999999997,[-16.2   8.1  20. ],0.234881,[16.2 -8.1 20. ]
11,0.42641899999999994,[16.2 -8.1 20. ],0.23558099999999998,[-16.2   8.1  20. ]
12,0.41934,[16.2  8.1 20. ],0.24266,[-16.2  -8.1  20. ]
13,0.447583,[-16.2  -8.1  20. ],0.214417,[-16.2   8.1  20. ]
14,0.422543,[-16.2  -8.1  20. ],0.239457,[16.2  8.1 20. ]
15,0.420491,[-16.2   8.1  20. ],0.241509,[16.2 -8.1 20. ]
16,0.45516999999999996,[-16.2   8.1  20. ],0.20683,[16.2 -8.1 20. ]
17,0.450597,[-16.2   8.1  20. ],0.211403,[-16.2  -8.1  20. ]
18,0.468421,[16.2 -8.1 20. ],0.193579,[-16.2   8.1  20. ]
19,0.44141899999999995,[-16.2   8.1  20. ],0.220581,[16.2 -8.1 20. ]
